Country,State,University Name,Type of University,Tie Up with University,School,Technologies/Courses Offered,Course Types,Unplaced %,Corporate Tie Up,Job Offering,Internship,Marketing Strategy,Costing,Hackathons,Services Offered,Scholarships,Tier,Ranking
Australia,Australian Capital Territory,Australian National University (ANU),Public,Yes,Engineering,AI,Full-time,6.05,Yes,No,No,Community Engagement,$37792,No,Consulting,Yes,Tier 1,55
Australia,Australian Capital Territory,University of Canberra,Private,No,Science,ML,Full-time,10.06,No,No,No,Radio and tv advertising,$25031,Yes,Both,Yes,Tier 2,367
Australia,New South Wales,University of Sydney,Public,Yes,Business,ML,Online,10.04,No,Yes,No,SEO,$38461,Yes,Consulting,No,Tier 3,958
Australia,New South Wales,University of New South Wales (UNSW Sydney),Public,Yes,Business,Data Science,Part-time,19.5,No,Yes,No,Email Marketing,$30242,Yes,Training,No,Tier 2,565
Australia,New South Wales,University of Newcastle,Public,No,Business,ML,Full-time,19.1,Yes,Yes,No,SEO,$16395,No,Consulting,Yes,Tier 2,962
Australia,New South Wales,University of Wollongong,Public,Yes,Engineering,ML,Online,18.51,No,No,No,Influencer Marketing,$43663,Yes,Training,No,Tier 1,671
Australia,New South Wales,Macquarie University,Public,Yes,Arts,Cyber Security,Part-time,13.22,No,Yes,Yes,Print Media,$15594,Yes,Consulting,No,Tier 2,715
Australia,New South Wales,University of Technology Sydney (UTS),Public,No,Business,Data Science,Full-time,19.22,Yes,No,No,Print Media,$31247,Yes,Training,No,Tier 3,386
Australia,New South Wales,Charles Sturt University,Public,No,Arts,ML,Online,10.18,Yes,Yes,No,Email Marketing,$48036,Yes,Consulting,No,Tier 2,751
Australia,New South Wales,Southern Cross University,Public,No,Business,ML,Full-time,5.79,Yes,Yes,No,Community Engagement,$29479,Yes,Training,Yes,Tier 1,432
Australia,New South Wales,University of Divinity,Public,Yes,Business,IoT,Online,5.98,No,No,Yes,Social Media Advertising,$22000,No,Consulting,Yes,Tier 2,707
Australia,Victoria,University of Melbourne,Private,Yes,Science,AI,Online,10.31,Yes,Yes,Yes,Direct Engagement,$37446,Yes,Both,No,Tier 1,27
Australia,Victoria,Monash University,Private,No,Engineering,Cyber Security,Part-time,8.53,Yes,Yes,Yes,Print Media,$30552,Yes,Both,No,Tier 2,131
Australia,Victoria,RMIT University,Private,No,Business,IoT,Full-time,11.36,No,No,No,Email Marketing,$43390,No,Consulting,No,Tier 2,264
Australia,Victoria,Deakin University,Private,No,Engineering,ML,Online,16.63,Yes,Yes,Yes,Social Media Advertising,$21661,No,Both,Yes,Tier 3,128
Australia,Victoria,La Trobe University,Public,No,Science,IoT,Full-time,14.4,No,Yes,Yes,Direct Engagement,$21281,No,Both,Yes,Tier 1,585
Australia,Victoria,Victoria University,Private,No,Arts,AI,Online,10.76,No,Yes,No,Radio and tv advertising,$19573,Yes,Consulting,Yes,Tier 3,299
