Country,State,University Name,Type of University,Tie Up with University,School,Technologies/Courses Offered,Course Types,Unplaced %,Corporate Tie Up,Job Offering,Internship,Marketing Strategy,Costing,Hackathons,Services Offered,Scholarships,Tier,Ranking
Australia,Australian Capital Territory,Australian National University (ANU),Private,Yes,Engineering,Cyber Security,Online,17.69,Yes,Yes,Yes,Digital,$37134,No,Both,No,Tier 1,25
Australia,New South Wales,University of Divinity,Private,No,Engineering,Data Science,Online,18.32,Yes,Yes,Yes,Digital,$41177,No,Training,Yes,Tier 3,642
Australia,Victoria,La Trobe University,Public,No,Arts,Data Science,Part-time,13.68,No,No,No,Digital,$46093,No,Consulting,Yes,Tier 2,902
Australia,Queensland,Bond University,Private,Yes,Science,Cyber Security,Full-time,15.46,Yes,Yes,No,Traditional,$11149,Yes,Both,Yes,Tier 1,787
Australia,Western Australia,Curtin University,Public,Yes,Arts,IoT,Full-time,19.01,No,No,Yes,Digital,$20828,No,Consulting,Yes,Tier 1,742
Australia,South Australia,University of Adelaide,Public,No,Science,Cyber Security,Part-time,6.55,No,No,Yes,Both,$43175,No,Training,No,Tier 3,31
Australia,Tasmania,University of Tasmania,Public,Yes,Science,Data Science,Full-time,19.76,Yes,Yes,Yes,Traditional,$11676,Yes,Training,No,Tier 1,230
Australia,Northern Territory,Charles Darwin University,Public,No,Business,Cyber Security,Full-time,8.87,Yes,No,No,Traditional,$41803,No,Consulting,Yes,Tier 1,491
Australia,Multi-State,Australian Catholic University (ACU),Public,No,Business,ML,Part-time,9.47,No,Yes,No,Traditional,$18819,No,Training,No,Tier 2,539
UAE,Dubai,University of the Arts London - Dubai,Public,Yes,Arts,Cyber Security,Part-time,9.21,Yes,No,Yes,Traditional,$29705,No,Consulting,Yes,Tier 3,931
UAE,Abu Dhabi,Zayed University,Private,Yes,Engineering,Data Science,Online,9.43,No,No,Yes,Both,$29080,Yes,Training,No,Tier 3,970
UAE,Sharjah,Skyline University College,Private,No,Engineering,ML,Online,5.7,Yes,No,Yes,Both,$48177,No,Both,No,Tier 3,871
UAE,Ajman,Gulf Medical University,Public,No,Business,AI,Part-time,18.75,Yes,No,No,Digital,$46623,No,Training,No,Tier 3,763
UAE,Ras Al Khaimah,American University of Ras Al Khaimah,Public,No,Business,ML,Part-time,14.42,Yes,Yes,Yes,Digital,$44093,No,Both,No,Tier 3,789
UAE,Fujairah,University of Fujairah,Public,No,Science,ML,Part-time,11.37,No,Yes,No,Digital,$28368,Yes,Training,No,Tier 3,567
Saudi Arabia,Riyadh,Al-Yamamah University,Public,Yes,Business,IoT,Full-time,17.54,No,No,Yes,Digital,$46801,Yes,Consulting,Yes,Tier 2,543
Saudi Arabia,Jeddah,King Abdulaziz University for Health Sciences,Public,No,Science,IoT,Full-time,6.03,Yes,No,Yes,Digital,$18648,Yes,Training,No,Tier 2,137
Saudi Arabia,Dhahran,King Fahd University of Petroleum and Minerals,Public,No,Science,ML,Part-time,10.14,No,No,Yes,Both,$35028,Yes,Training,Yes,Tier 3,706
Saudi Arabia,Abha,King Khalid University,Private,No,Science,AI,Part-time,10.82,No,Yes,Yes,Both,$48009,Yes,Consulting,Yes,Tier 3,669
